control_id,control_name,control_description,control_type,nist_csf_function,implementation_status,control_owner,effectiveness_pct,mapped_asset_ids,mapped_risk_ids,review_date,evidence_reference,notes
CTL-001,Multifactor authentication,Requires an additional authentication factor for sensitive banking services.,Preventive,Protect,Implemented,Identity and Access Manager,85.00,AST-002;AST-008,RSK-001;RSK-006,2026-10-15,IAM configuration baseline v3,Covers fictional workforce and administrative access.
CTL-002,Email security filtering,Filters suspicious messages attachments and links before delivery.,Preventive,Protect,Implemented,Collaboration Services Administrator,78.50,AST-003,RSK-001,2026-11-01,Monthly email gateway report,Includes attachment sandboxing and link inspection.
CTL-003,Endpoint detection and response,Monitors managed endpoints and supports rapid investigation and isolation.,Detective,Detect,Partially Implemented,Endpoint Services Manager,72.00,AST-004,RSK-002;RSK-007,2026-12-10,EDR coverage dashboard,Remaining fictional devices are scheduled for onboarding.
CTL-004,Cloud configuration monitoring,Detects insecure changes to fictional cloud resources and services.,Detective,Identify,Partially Implemented,Cloud Services Manager,68.25,AST-001;AST-002,RSK-003;RSK-004,2026-09-30,Cloud posture summary August 2026,Alert tuning is in progress.
CTL-005,Backup restoration testing,Tests whether protected systems and data can be restored from isolated backups.,Recovery,Recover,Implemented,Infrastructure Services Manager,90.00,AST-001;AST-007,RSK-003;RSK-008,2026-11-15,Semiannual restoration exercise record,Test scenarios use fictional data only.
CTL-006,Privileged access reviews,Reviews elevated access and removes permissions no longer required.,Governance,Govern,Partially Implemented,Identity and Access Manager,65.00,AST-001;AST-008,RSK-006;RSK-010,2026-10-31,Quarterly privileged access certification,Application-owner attestations are retained.
CTL-007,Denial-of-service protection,Filters abusive traffic and provides capacity-based service protection.,Preventive,Respond,Implemented,Digital Banking Manager,80.00,AST-002;AST-006,RSK-009,2026-12-01,Provider resilience service report,Escalation contacts are tested quarterly.
CTL-008,Vendor continuity review,Assesses continuity plans and recovery commitments for critical suppliers.,Governance,Govern,Planned,Vendor Management Lead,20.00,AST-005,RSK-005,2027-01-31,Vendor review schedule 2027,First full exercise is planned.
CTL-009,Network segmentation,Restricts traffic paths between user server and administrative network zones.,Preventive,Protect,Partially Implemented,Network Services Manager,70.00,AST-001;AST-006,RSK-003;RSK-006,2026-12-20,Firewall rule-set review record,Legacy rule cleanup remains underway.
CTL-010,Security incident-response procedures,Defines triage containment communication and recovery responsibilities.,Corrective,Respond,Implemented,Information Security Manager,75.00,AST-003;AST-004;AST-008,RSK-001;RSK-002;RSK-006,2026-10-20,Incident response tabletop report,Procedures contain fictional contacts and scenarios.
CTL-011,Vulnerability management,Identifies prioritizes and tracks remediation of technical weaknesses.,Detective,Identify,Partially Implemented,Vulnerability Management Lead,62.50,AST-001;AST-002;AST-004,RSK-002;RSK-003;RSK-004,2026-11-30,Monthly vulnerability status report,Remediation targets vary by severity.
CTL-012,Cybersecurity governance review,Reviews cybersecurity priorities risk trends and control performance.,Governance,Govern,Implemented,Chief Information Security Officer,82.00,AST-005;AST-007;AST-008,RSK-005;RSK-008;RSK-010,2026-12-31,Quarterly cybersecurity steering minutes,Management reporting uses fictional organization data.
