risk_id,risk_title,threat,vulnerability,affected_asset_id,likelihood,impact,inherent_score,inherent_rating,existing_controls,control_effectiveness_pct,residual_score,residual_rating,risk_owner,treatment,status,target_date,nist_csf_function
RSK-001,Employee phishing compromise,Phishing attacker,Employees may interact with deceptive email or sign-in pages,AST-003,4,4,16,High,"Email filtering, multifactor authentication, and quarterly awareness training",60,6.40,Low,Information Security Manager,Mitigate,In Progress,2026-10-31,Protect
RSK-002,Ransomware disrupts employee operations,Ransomware operator,Endpoints may execute malicious files before detection or isolation,AST-004,4,5,20,Critical,"Endpoint detection and response, application patching, and restricted local administrator rights",45,11.00,Medium,Endpoint Services Manager,Mitigate,In Progress,2026-11-30,Respond
RSK-003,Customer data breach,External cybercriminal,Sensitive records may be exposed through compromised credentials or application weaknesses,AST-001,3,5,15,High,"Database encryption, security logging, least-privilege roles, and vulnerability scanning",50,7.50,Low,Director of Information Technology,Mitigate,Open,2026-12-15,Detect
RSK-004,Cloud portal misconfiguration exposure,Opportunistic cloud attacker,Incorrect AWS storage or network settings could expose portal resources,AST-002,3,5,15,High,"Infrastructure templates, peer review, cloud configuration alerts, and quarterly access review",40,9.00,Medium,Cloud Services Manager,Mitigate,In Progress,2026-09-30,Identify
RSK-005,Third-party payment processor outage,Provider service failure,Dependence on one processor limits immediate transaction-processing alternatives,AST-005,3,4,12,Medium,"Service-level agreement, vendor monitoring, incident contacts, and manual continuity procedures",25,9.00,Medium,Payments Operations Manager,Transfer,Monitoring,2026-12-31,Govern
RSK-006,Unauthorized access to bank systems,Credential thief,Weak or stolen credentials could be used to access privileged services,AST-008,3,5,15,High,"Multifactor authentication, conditional access, sign-in monitoring, and account lockout",55,6.75,Low,Identity and Access Manager,Mitigate,In Progress,2026-10-15,Protect
RSK-007,Lost or stolen employee laptop,Device thief,Portable devices may be lost or stolen outside bank facilities,AST-004,3,4,12,Medium,"Full-disk encryption, automatic screen lock, mobile device management, and remote wipe",65,4.20,Low,Endpoint Services Manager,Accept,Accepted,2027-01-15,Protect
RSK-008,Backup failure prevents recovery,Hardware failure or malicious deletion,Backup jobs or restore procedures may fail without timely detection,AST-007,3,5,15,High,"Daily backup monitoring, isolated copies, retention controls, and semiannual restore tests",40,9.00,Medium,Infrastructure Services Manager,Mitigate,Open,2026-11-15,Recover
RSK-009,Denial-of-service attack disrupts banking,Denial-of-service attacker,Public portal capacity could be overwhelmed by high-volume malicious traffic,AST-002,4,4,16,High,"Cloud traffic filtering, rate limiting, monitoring alerts, and provider escalation procedures",35,10.40,Medium,Digital Banking Manager,Transfer,Monitoring,2026-12-01,Respond
RSK-010,Excessive user privileges enable misuse,Malicious insider or compromised user,Accumulated access rights may exceed current job responsibilities,AST-008,3,4,12,Medium,"Manager approvals, role-based access groups, and annual access certification",30,8.40,Medium,Identity and Access Manager,Mitigate,Open,2026-10-31,Govern
