action_id,action_title,description,related_risk_id,related_control_id,action_owner,priority,status,created_date,due_date,completion_pct,closure_date,verification_notes
ACT-001,Expand phishing simulations,Increase fictional simulation frequency and add role-based scenarios.,RSK-001,CTL-002,Security Awareness Manager,High,In Progress,2026-03-01,2026-07-31,60,,Pilot campaign results will be reviewed after completion.
ACT-002,Complete EDR deployment,Deploy the fictional EDR sensor to remaining managed endpoints.,RSK-002,CTL-003,Endpoint Services Manager,Critical,Open,2026-06-15,2026-10-31,20,,Coverage report will verify final deployment.
ACT-003,Correct cloud misconfigurations,Resolve high-priority findings from the fictional cloud configuration scan.,RSK-004,CTL-004,Cloud Services Manager,Critical,Blocked,2026-04-10,2026-07-15,40,,Change-window approval is pending.
ACT-004,Test payment continuity procedures,Exercise fictional manual processing and provider escalation steps.,RSK-005,CTL-008,Payments Operations Manager,High,Completed,2026-01-20,2026-06-30,100,2026-06-25,Exercise results were accepted by the continuity lead.
ACT-005,Remove excessive privileges,Remove fictional access that is no longer required.,RSK-010,CTL-006,Identity and Access Manager,High,Closed,2026-02-01,2026-05-31,100,2026-05-20,Follow-up certification confirmed removal.
ACT-006,Improve backup restoration testing,Add an application-consistency check to the next fictional restore test.,RSK-008,CTL-005,Infrastructure Services Manager,Medium,In Progress,2026-06-01,2026-11-15,55,,Verification is planned during the next exercise.
ACT-007,Expand DDoS capacity,Review fictional provider capacity tiers and escalation thresholds.,RSK-009,CTL-007,Digital Banking Manager,Medium,Cancelled,2026-01-05,2026-04-30,30,,The fictional provider service was replaced by another planned initiative.
ACT-008,Update network segmentation rules,Clean up fictional legacy paths between protected network zones.,,CTL-009,Network Services Manager,High,Open,2026-07-01,2026-12-20,0,,Firewall review evidence will verify the change.
ACT-009,Close vulnerability findings,Remediate a fictional group of aged high-severity scan findings.,RSK-003,CTL-011,Vulnerability Management Lead,Critical,Completed,2026-02-15,2026-07-15,100,2026-07-10,Rescan results showed the fictional findings were resolved.
ACT-010,Update incident response procedures,Clarify fictional ransomware escalation and recovery responsibilities.,RSK-006,CTL-010,Information Security Manager,Low,In Progress,2026-07-15,2026-12-15,25,,A tabletop exercise will verify the revised procedure.
