evidence_id,control_id,evidence_name,evidence_type,description,evidence_owner,collected_date,review_date,expiration_date,status,storage_reference,reviewer,notes
EVD-001,CTL-001,MFA configuration export,Configuration,Fictional export showing multifactor authentication settings for protected services.,Identity and Access Manager,2026-01-15,2026-04-15,2027-01-15,Current,grc://evidence/identity/mfa-baseline-2026-01,Security Architecture Lead,Administrative accounts are included in the sample scope.
EVD-002,CTL-002,Email filtering effectiveness report,Report,Monthly fictional report summarizing blocked messages and attachment inspection.,Collaboration Services Administrator,2026-06-01,2026-07-01,2026-09-01,Expiring Soon,grc://evidence/email/filtering-report-2026-06,Security Operations Manager,Metrics contain no real employee or message data.
EVD-003,CTL-003,EDR coverage report,Report,Fictional endpoint coverage and sensor health summary.,Endpoint Services Manager,2026-05-20,2026-06-20,2026-11-20,Current,grc://evidence/endpoints/edr-coverage-2026-q2,Security Operations Manager,Several fictional devices remain scheduled for onboarding.
EVD-004,CTL-004,Cloud configuration scan,Report,Fictional cloud posture scan identifying configuration exceptions.,Cloud Services Manager,2026-07-10,2026-08-10,2026-10-10,Under Review,grc://evidence/cloud/posture-scan-2026-07,Cloud Security Architect,Exception owners are validating the findings.
EVD-005,CTL-005,Backup restoration test result,Test Result,Fictional restoration exercise demonstrating recovery of protected data.,Infrastructure Services Manager,2026-03-12,2026-03-19,2027-03-12,Current,grc://evidence/recovery/restore-test-2026-h1,Business Continuity Manager,The exercise used synthetic banking records.
EVD-006,CTL-006,Privileged access review,Attestation,Fictional quarterly certification of privileged access assignments.,Identity and Access Manager,2025-10-01,2025-10-20,2026-01-01,Expired,grc://evidence/governance/privileged-review-2025-q4,Internal Controls Manager,A replacement review is being collected.
EVD-007,CTL-007,DDoS service attestation,Attestation,Fictional provider statement describing traffic filtering and escalation coverage.,Digital Banking Manager,2026-02-28,2026-03-15,2027-02-28,Current,grc://evidence/resilience/ddos-attestation-2026,Vendor Risk Analyst,Provider and contact names are fictional.
EVD-008,CTL-008,Vendor continuity assessment,Contract,Fictional assessment of recovery commitments for a payment supplier.,Vendor Management Lead,2026-06-15,2026-08-01,2026-12-15,Under Review,grc://evidence/vendors/continuity-assessment-2026,Payments Risk Manager,Open questions are tracked in the remediation register.
EVD-009,CTL-009,Network segmentation diagram,Screenshot,Fictional diagram showing approved user server and administrative zones.,Network Services Manager,2025-11-05,2025-12-01,2026-05-05,Expired,grc://evidence/network/segmentation-diagram-v4,Security Architecture Lead,Diagram uses fictional addresses and system names.
EVD-010,CTL-010,Incident response exercise report,Test Result,Fictional tabletop report covering triage containment communications and recovery.,Information Security Manager,2026-04-22,2026-05-15,2027-04-22,Current,grc://evidence/response/tabletop-report-2026,Operational Risk Manager,Exercise participants and contacts are fictional.
EVD-011,CTL-011,Vulnerability scan report,Report,Fictional authenticated scan summary for in-scope systems.,Vulnerability Management Lead,2026-07-25,2026-08-15,2026-08-25,Expiring Soon,grc://evidence/vulnerability/scan-summary-2026-07,Director of Information Technology,Technical details are simulated for portfolio use.
EVD-012,CTL-012,Governance meeting minutes,Procedure,Fictional steering meeting record documenting cyber risk and control decisions.,Chief Information Security Officer,2026-06-30,2026-07-15,2027-06-30,Current,grc://evidence/governance/steering-minutes-2026-q2,Enterprise Risk Director,Minutes contain only fictional organization information.
